"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","0.994024","0","3"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","1.005223","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","5.138559","0","6"
"/Game/FAB/Modern_House_V1/Materials/M_Metal_2.M_Metal_2","0","6","6","2","2.518760","0","6"
"/Game/FAB/Modern_House_V1/Materials/M_Metal_1.M_Metal_1","0","6","6","2","0.000000","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","0.964292","0","3"
"/Game/FAB/StylizedKitchen/Materials/MM_Basic.MM_Basic","0","168","192","3","127.138733","0","192"
"/Game/FAB/FreeFurniturePack/Materials/M_Classic_Picture.M_Classic_Picture","0","3","3","1","2.524091","0","3"
"/Game/FAB/JapaneseFurniture_Modern/Materials/M_MasterSurface.M_MasterSurface","0","6","6","2","5.559237","0","6"
"/Game/FAB/FreeFurniturePack/Materials/M_Modern_Table_bottom.M_Modern_Table_bottom","0","3","3","1","1.870849","0","3"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","4.614806","0","6"
"/Game/FAB/JapaneseFurniture_Modern/Materials/M_Generic.M_Generic","0","3","3","1","1.847645","0","3"
"/Game/FAB/StylizedKitchen/Materials/MM_Metal_Can_A.MM_Metal_Can_A","0","3","3","1","1.765204","0","3"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","65.758911","0","92"
"/Game/FAB/FreeFurniturePack/Materials/MM_Modern_Sofa.MM_Modern_Sofa","0","3","3","1","2.666025","0","3"
"/Game/FAB/StylizedKitchen/Materials/MM_Base01.MM_Base01","0","9","10","2","8.698015","0","10"
"/Game/FAB/StylizedKitchen/Materials/MM_Glass.MM_Glass","0","10","10","1","30.281315","0","10"
"/Game/FAB/FreeFurniturePack/Materials/M_Modern_Table_top.M_Modern_Table_top","0","3","3","1","2.075050","0","3"
"/Game/FAB/StylizedKitchen/Materials/MM_Glass02.MM_Glass02","0","8","8","1","28.434919","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Metal_5.M_Metal_5","0","3","3","1","2.760560","0","3"
"/Game/FAB/JapaneseFurniture_Modern/Materials/M_Glass.M_Glass","0","8","8","1","34.670403","0","8"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","1.814562","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","2.073481","0","5"
"/Game/FAB/StylizedKitchen/Materials/MM_Grass.MM_Grass","0","28","32","2","28.363400","0","32"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","1.145201","0","5"
"/Game/FAB/FreeFurniturePack/Materials/M_Art_2.M_Art_2","0","3","3","1","2.538211","0","3"
